,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Varnavino,RU,57.4035,45.0916,4.26,98,70,4.97,broken clouds
1,Saint-Philippe,RE,-21.3585,55.7679,80.19,85,93,3.47,light rain
2,Hermanus,ZA,-34.4187,19.2345,63.9,68,98,9.6,overcast clouds
3,Torbay,CA,47.6666,-52.7314,41.29,95,100,5.01,heavy intensity rain
4,Narsaq,GL,60.9167,-46.05,25.02,71,100,12.93,snow
5,Bloemfontein,ZA,-29.1211,26.214,67.48,83,5,11.5,clear sky
6,Belmonte,BR,-15.8631,-38.8828,81.1,77,91,6.55,overcast clouds
7,Guerrero Negro,MX,27.9769,-114.0611,67.46,67,97,13.04,overcast clouds
8,Trat,TH,12.5,102.5,81.99,59,96,3.94,overcast clouds
9,Uruzgan,AF,32.8333,66.0,43.68,92,100,1.36,overcast clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,82.36,74,94,9.37,overcast clouds
11,Minab,IR,27.1467,57.0801,63.9,90,56,8.43,broken clouds
12,Klaksvik,FO,62.2266,-6.589,43.72,93,100,25.75,overcast clouds
13,Gornyy,RU,55.1153,83.9059,-1.03,100,80,6.91,broken clouds
14,Terrace,CA,54.5163,-128.6035,33.42,88,100,0.96,overcast clouds
15,Bilma,NE,18.6853,12.9164,56.79,30,0,9.89,clear sky
16,Ilulissat,GL,69.2167,-51.1,12.22,44,100,13.8,overcast clouds
17,Bud,US,39.447,-86.1758,44.89,61,97,13.87,overcast clouds
18,Sinnamary,GF,5.3833,-52.95,77.07,88,70,7.74,broken clouds
19,Flinders,AU,-34.5833,150.8552,68.18,87,100,8.99,light rain
20,East London,ZA,-33.0153,27.9116,71.51,88,74,16.06,light rain
21,Merauke,ID,-8.4667,140.3333,76.8,93,100,8.3,overcast clouds
22,Porbandar,IN,21.6422,69.6093,69.44,41,1,9.31,clear sky
23,Solyanka,RU,46.3889,48.0176,33.75,86,75,8.95,broken clouds
24,Hobart,AU,-42.8794,147.3294,58.26,70,75,1.01,broken clouds
25,Dukat,RU,62.55,155.55,-28.62,90,3,3.83,clear sky
26,Mataura,NZ,-46.1927,168.8643,55.47,99,99,7.54,light rain
27,Hasaki,JP,35.7333,140.8333,28.8,45,1,10.56,clear sky
28,Tandalti,SD,13.0167,31.8667,62.04,22,1,14.34,clear sky
29,Kapaa,US,22.0752,-159.319,81.12,71,1,1.99,clear sky
