City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
6,Belmonte,BR,81.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
8,Trat,TH,81.99,overcast clouds,12.5,102.5,สวนหนิง-อัศ
10,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Sinnamary,GF,77.07,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
20,East London,ZA,71.51,light rain,-33.0153,27.9116,Tu Casa
21,Merauke,ID,76.8,overcast clouds,-8.4667,140.3333,
29,Kapaa,US,81.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,Micheweni,TZ,80.76,light rain,-4.9667,39.8333,
37,Sao Filipe,CV,73.98,broken clouds,14.8961,-24.4956,Hotel Xaguate
39,Dingle,PH,73.09,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
40,Sibolga,ID,74.43,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
44,Busselton,AU,81.05,few clouds,-33.65,115.3333,Observatory Guest House
45,Bonthe,SL,80.37,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
51,Monrovia,LR,80.1,few clouds,6.3005,-10.7969,Sunset Inn
54,Corowa,AU,73.58,overcast clouds,-36.0333,146.3833,Statesman Motor Inn
58,Isangel,VU,82.76,scattered clouds,-19.55,169.2667,Tanna Lodge
62,Rikitea,PF,77.77,light rain,-23.1203,-134.9692,People ThankYou
65,Kavieng,PG,81.99,moderate rain,-2.5744,150.7967,Nusa Island Retreat
66,Lorengau,PG,80.78,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
67,Pimentel,PE,77.29,clear sky,-6.8367,-79.9342,Casona Del Muelle
69,Carnarvon,AU,77.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
70,Pentecoste,BR,81.68,clear sky,-3.7928,-39.2703,Motel Big love
72,Caravelas,BR,77.47,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
73,Georgetown,MY,79.9,scattered clouds,5.4112,100.3354,Cititel Penang
74,Souillac,MU,81.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
75,Kathu,TH,76.82,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
76,Kinango,KE,78.91,light rain,-4.1372,39.3153,Legacy Hotel
77,Grand-Lahou,CI,79.39,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
79,Kingsville,US,80.85,few clouds,27.5159,-97.8561,Econo Lodge Kingsville
